list_bytes,list_kb,ns_per_hop
4096,4.0000,0.675250
8192,8.0000,0.657250
16384,16.0000,0.658750
32768,32.0000,0.659042
65536,64.0000,0.667293
131072,128.0000,0.660542
262144,256.0000,2.784604
524288,512.0000,2.826378
1048576,1024.0000,3.405211
2097152,2048.0000,5.935669
4194304,4096.0000,6.381176
8388608,8192.0000,6.961823
16777216,16384.0000,9.217326
33554432,32768.0000,35.062790
67108864,65536.0000,65.639178
134217728,131072.0000,76.422215
268435456,262144.0000,82.230806
