N,matrix_bytes,rowmajor_ns,colmajor_ns,slowdown_ratio
64,32768,1.832806,1.983392,1.082162
128,131072,1.928111,2.121972,1.100545
256,524288,1.974387,2.889915,1.463702
512,2097152,1.960500,2.877045,1.467506
1024,8388608,1.985550,2.892812,1.456932
2048,33554432,1.974821,3.086805,1.563081
4096,134217728,2.030969,3.164828,1.558285
