stride_elements,stride_bytes,ns_per_access
1,4,0.880872
2,8,0.872841
4,16,0.890414
8,32,0.871718
16,64,0.897699
32,128,4.51442
64,256,3.73665
128,512,2.53623
256,1024,1.8327
512,2048,2.36167
1024,4096,2.33358
