array_bytes,array_kb,ns_per_access
1024,1,0.33801
2048,2,0.862951
4096,4,1.00131
8192,8,1.015
16384,16,1.01242
32768,32,0.979022
65536,64,1.01044
131072,128,1.02305
262144,256,1.01462
524288,512,1.00728
1048576,1024,1.01088
2097152,2048,1.00377
4194304,4096,1.01026
8388608,8192,1.01509
16777216,16384,1.01308
33554432,32768,1.01419
67108864,65536,1.01475
134217728,131072,1.01509
268435456,262144,1.00453
